Altium Designer Pick and Place Locations
C:\WORKS\Project\12122024_ZebraElektronik\P2_Donanim\trunk\PCB_121224_01AA\out\30_Assembly\PnP_121224_01_AAAA\PnP_121224_01_AAAA.txt

========================================================================================================================
File Design Information:

Date:       16.12.24
Time:       16:22
Revision:   Not in VersionControl
Variant:    AA
Units used: mm

Designator Comment                     Layer    Footprint            Center-X(mm) Center-Y(mm) Rotation Description                                                                                                 
C3         100nF                       TopLayer C0402                55.0000      21.3500      180      "100nF ,10V ,X7R ,0402"                                                                                     
R29        10R                         TopLayer R0402                69.7500      46.5000      270      "10R, %1, 1/16W, 0402"                                                                                      
L5         22uH                        TopLayer WE-LQ_1210           3.0000       35.5000      180      "General Purpose Inductor, 22uH, 10%, 1 Element, Ferrite-Core, SMD, 1210"                                   
H4         "3.5mm hole"                TopLayer 3.5mm_hole           5.0000       46.0000      0        "3.5mm delik"                                                                                               
H3         "3.5mm hole"                TopLayer 3.5mm_hole           75.0000      46.0600      0        "3.5mm delik"                                                                                               
H2         "3.5mm hole"                TopLayer 3.5mm_hole           75.0000      5.0000       0        "3.5mm delik"                                                                                               
H1         "3.5mm hole"                TopLayer 3.5mm_hole           5.0000       5.0000       0        "3.5mm delik"                                                                                               
C43        100nF                       TopLayer C0402                69.7500      49.2500      270      "100nF ,10V ,X7R ,0402"                                                                                     
C42        100nF                       TopLayer C0402                70.5000      39.0976      270      "100nF ,10V ,X7R ,0402"                                                                                     
C41        330pF                       TopLayer C1206                10.2500      27.5000      270      "330pF, 1000V,  C0G, 1206"                                                                                  
C40        10uF                        TopLayer C0402                3.5000       20.0000      90       "10uF, 6.3V, X5R, 0402"                                                                                     
C39        10uF                        TopLayer C0402                7.0000       36.5000      270      "10uF, 6.3V, X5R, 0402"                                                                                     
C38        330pF                       TopLayer C1206                1.7500       27.5000      270      "330pF, 1000V,  C0G, 1206"                                                                                  
XTAL1      RH100-24.000-12-1010-EXT-TR TopLayer WE-XTAL_CFPX-180     72.7500      37.0000      90       "Crystal, 24Mhz, 12Pf, Smd, 3.2Mm X 2.5Mm Rohs Compliant: Yes |Raltron RH100-24.000-12-1010-EXT-TR"         
